mesh_name,category,n_vertices,n_faces,d_centroid_origin
m1446.ply,vehicle,6122,10530,0.5348161912331793
m1320.ply,vehicle,7674,14166,0.7610971687526885
m1334.ply,vehicle,267,524,0.64664904027671
m1452.ply,vehicle,776,1452,0.4771301973153396
m1485.ply,vehicle,6148,12263,0.6166087382076986
m1122.ply,vehicle,6704,11577,0.6485852355520475
m1136.ply,vehicle,904,1628,0.5603015758241764
m1268.ply,vehicle,240,376,0.5540949722859738
m1532.ply,vehicle,132,134,0.6024085335256842
m1240.ply,vehicle,182,378,0.7896667841254809
m1526.ply,vehicle,320,560,0.5663549948653036
m1297.ply,vehicle,640,1044,0.5422861297281855
m1283.ply,vehicle,275,368,0.5672797936579765
m1282.ply,vehicle,368,608,0.5784889289880412
m1296.ply,vehicle,250,408,0.8766020862023716
m737.ply,vehicle,3782,7110,0.7683111507853925
m1241.ply,vehicle,480,720,0.7264579171446721
m1527.ply,vehicle,7315,14450,0.6827617867011778
m1533.ply,vehicle,7374,14462,0.5570737075921426
m1255.ply,vehicle,3167,6441,0.7064569499883888
m1269.ply,vehicle,230,272,0.5478287220650645
m1137.ply,vehicle,408,524,0.5447775267577805
m1123.ply,vehicle,1015,1756,0.6314906447311468
m1490.ply,vehicle,2868,5566,0.6261329489629641
m1484.ply,vehicle,118,180,0.6373540894822167
m1335.ply,vehicle,321,626,0.6305688678440365
m1453.ply,vehicle,7994,15870,0.5788063348697124
m1447.ply,vehicle,3189,6000,0.4707540070273983
m1321.ply,vehicle,2727,5138,0.6221072014678133
m1309.ply,vehicle,2046,3460,0.700773334594894
m1479.ply,vehicle,12097,22065,0.6217636517014818
m1451.ply,vehicle,775,1498,0.5593328096254992
m1337.ply,vehicle,201,340,0.8731585228951235
m1323.ply,vehicle,5729,10670,0.7329222195962916
m1445.ply,vehicle,3516,7029,0.4930647790096361
m1492.ply,vehicle,5914,10880,0.5310907466800026
m1486.ply,vehicle,5735,11230,0.5770255171199241
m1135.ply,vehicle,264,360,0.5824662907060699
m1121.ply,vehicle,1062,1913,0.590265314996558
m1519.ply,vehicle,4099,7958,0.5542094024502311
m1525.ply,vehicle,10543,21450,0.5942859909639564
m1243.ply,vehicle,282,596,0.726747882016212
m1257.ply,vehicle,8811,17370,0.5036672064919633
