mesh_name,category,n_vertices,n_faces,d_centroid_origin
m1308.ply,vehicle,3196,6400,0.6548119297105377
m1446.ply,vehicle,3658,6399,0.532902186964031
m1320.ply,vehicle,3527,6399,0.7607745525440387
m1334.ply,vehicle,3171,6400,0.6419875955735131
m1452.ply,vehicle,3277,6399,0.47643946808912097
m1485.ply,vehicle,3180,6400,0.6207695570755761
m1491.ply,vehicle,2963,6400,0.5570218153703419
m1122.ply,vehicle,3815,6399,0.6487804876064764
m1136.ply,vehicle,3430,6512,0.5603015751571128
m1268.ply,vehicle,3207,6016,0.5540949758589963
m1532.ply,vehicle,3626,6400,0.6016382583155564
m1254.ply,vehicle,3514,6398,0.6226608365970657
m1240.ply,vehicle,3162,6400,0.7513584637855542
m1526.ply,vehicle,3312,6400,0.5639506589658593
m1297.ply,vehicle,3442,6400,0.54161054923464
m1283.ply,vehicle,3308,5888,0.5672797936120043
m1282.ply,vehicle,3385,6399,0.5784889245642748
m1296.ply,vehicle,3442,6528,0.8766020909827843
m737.ply,vehicle,3782,7110,0.7683111502474368
m1241.ply,vehicle,3583,6399,0.7274781836539743
m1527.ply,vehicle,3252,6399,0.682845403867903
m1533.ply,vehicle,3305,6399,0.5582886710417623
m1255.ply,vehicle,3167,6441,0.7064569507776999
m1269.ply,vehicle,3677,6400,0.5455737548021151
m1137.ply,vehicle,3731,6399,0.5447971990629181
m1123.ply,vehicle,3783,7024,0.6314906528656873
m1490.ply,vehicle,3290,6400,0.6247974309873013
m1484.ply,vehicle,3354,6400,0.6389057461635643
m1335.ply,vehicle,3200,6400,0.60272954479878
m1453.ply,vehicle,3236,6400,0.578795070193399
m1447.ply,vehicle,3189,6000,0.4707540102034197
m1321.ply,vehicle,3370,6399,0.6222398609837736
m1309.ply,vehicle,3579,6400,0.7007563887585486
m1479.ply,vehicle,3865,6400,0.6223689758763773
m1451.ply,vehicle,3037,5992,0.5593328063139063
m1337.ply,vehicle,3413,6399,0.8727347284620876
m1323.ply,vehicle,3227,6399,0.7327462044627028
m1445.ply,vehicle,3516,7029,0.49306478006945303
m1492.ply,vehicle,3674,6400,0.5305349773703781
m1486.ply,vehicle,3255,6399,0.5770127390618093
m1135.ply,vehicle,3042,5760,0.5824662940666724
m1121.ply,vehicle,4027,7652,0.5902653156678772
m1519.ply,vehicle,4099,7958,0.5542094053962346
m1525.ply,vehicle,2962,6400,0.5960224380335036
m1243.ply,vehicle,3150,6399,0.7049760554651279
m1257.ply,vehicle,3342,6399,0.5038456543663696
m1531.ply,vehicle,3379,6399,0.548346588321765
m1280.ply,vehicle,3622,6400,0.5427953736800115
m1294.ply,vehicle,3131,5632,0.5530687021030769
m1295.ply,vehicle,3639,6400,0.560700288889401
m1281.ply,vehicle,3341,6399,0.560103268525089
m1256.ply,vehicle,3340,6399,0.6295679625000014
m1530.ply,vehicle,3412,6400,0.5718900642396316
m1524.ply,vehicle,3210,6400,0.5640668965778224
m1242.ply,vehicle,3458,6400,0.6999672290104816
m1518.ply,vehicle,3280,6400,0.5468538867282906
m1120.ply,vehicle,3806,6399,0.7721048308581913
m1134.ply,vehicle,3466,6399,0.5598107552734075
m1487.ply,vehicle,2936,6400,0.5793618651177675
m1493.ply,vehicle,3635,6400,0.6587723053337443
m1322.ply,vehicle,3239,6400,0.7101758191687191
m1444.ply,vehicle,3550,6400,0.5470210718338715
m1450.ply,vehicle,3012,6399,0.502206069370368
m1336.ply,vehicle,3233,6400,0.7013756896685118
m1478.ply,vehicle,3470,6400,0.5642778723318677
m1332.ply,vehicle,3216,6400,0.6297391122197671
m1454.ply,vehicle,3226,6400,0.6874495899726932
m1440.ply,vehicle,4230,5977,0.5866350157343124
m1326.ply,vehicle,3430,6399,0.6813832691667088
m1468.ply,vehicle,3607,6400,0.5133649829354812
m1497.ply,vehicle,3655,7234,0.5282260883440846
m1483.ply,vehicle,3248,6399,0.6157847509885519
m1130.ply,vehicle,3249,6399,0.7841900053621719
m1124.ply,vehicle,3502,6400,0.5824446383970302
m1118.ply,vehicle,3411,6399,0.5861458254356144
m1246.ply,vehicle,3038,6400,0.6890190714163633
m1520.ply,vehicle,2110,6400,0.5655091631590281
m1534.ply,vehicle,2852,6400,0.605301958092623
m1252.ply,vehicle,3070,4854,0.6603991690306825
m1508.ply,vehicle,2294,6398,0.5706659293452486
m1285.ply,vehicle,3018,5632,0.5562140239760837
m1291.ply,vehicle,3595,7104,0.5904004920415754
m1290.ply,vehicle,3339,5952,0.5451555819042392
m1284.ply,vehicle,3135,6399,0.5323757531147137
m1509.ply,vehicle,3266,6399,0.6946016841634874
m1535.ply,vehicle,3318,6400,0.5680339945910777
m1253.ply,vehicle,4236,7616,0.7134773140998594
m1247.ply,vehicle,3094,6184,0.6854959099321625
m1521.ply,vehicle,3216,6397,0.5775930567778846
m1119.ply,vehicle,3226,6200,0.6144919139931867
m1125.ply,vehicle,3501,6400,0.6002262403083607
m1131.ply,vehicle,3470,6400,0.5917118876330459
m1482.ply,vehicle,3218,6399,0.5814319071909521
m1496.ply,vehicle,3233,6400,0.55726329857899
m1469.ply,vehicle,3380,6399,0.5232649800148265
m1441.ply,vehicle,4539,6399,0.5193994660117657
m1327.ply,vehicle,3422,6400,0.5639527996535665
m1333.ply,vehicle,3148,6400,0.638906788396725
m1455.ply,vehicle,3226,6400,0.5886770392658264
m1325.ply,vehicle,3744,6400,0.6802479010627495
m1443.ply,vehicle,3409,6399,0.5350283298080779
m1457.ply,vehicle,3299,6399,0.5656701707073539
m1331.ply,vehicle,3403,6400,0.7430251233114714
m1319.ply,vehicle,3425,6399,0.5673859294270911
m1480.ply,vehicle,3595,6400,0.6492871983892304
m1494.ply,vehicle,2570,6400,0.5777584938785482
m1127.ply,vehicle,3487,6399,0.5737999249847785
m1133.ply,vehicle,3465,6399,0.611929207250195
