mesh_name class n_vertices n_faces
m1308.ply vehicle 58380 116777
m1446.ply vehicle 6122 10530
m1320.ply vehicle 7674 14166
m1334.ply vehicle 267 524
m1452.ply vehicle 776 1452
m1485.ply vehicle 6148 12263
m1491.ply vehicle 55001 116942
m1122.ply vehicle 6704 11577
m1136.ply vehicle 904 1628
m1268.ply vehicle 240 376
m1532.ply vehicle 132 134
m1254.ply vehicle 46597 88241
m1240.ply vehicle 182 378
m1526.ply vehicle 320 560
m1297.ply vehicle 640 1044
m1283.ply vehicle 275 368
m1282.ply vehicle 368 608
m1296.ply vehicle 250 408
m737.ply vehicle 3782 7110
m1241.ply vehicle 480 720
m1527.ply vehicle 7315 14450
m1533.ply vehicle 7374 14462
m1255.ply vehicle 3167 6441
m1269.ply vehicle 230 272
m1137.ply vehicle 408 524
m1123.ply vehicle 1015 1756
m1490.ply vehicle 2868 5566
m1484.ply vehicle 118 180
m1335.ply vehicle 321 626
m1453.ply vehicle 7994 15870
m1447.ply vehicle 3189 6000
m1321.ply vehicle 2727 5138
m1309.ply vehicle 2046 3460
m1479.ply vehicle 12097 22065
m1451.ply vehicle 775 1498
m1337.ply vehicle 201 340
m1323.ply vehicle 5729 10670
m1445.ply vehicle 3516 7029
m1492.ply vehicle 5914 10880
m1486.ply vehicle 5735 11230
m1135.ply vehicle 264 360
m1121.ply vehicle 1062 1913
m1519.ply vehicle 4099 7958
m1525.ply vehicle 10543 21450
m1243.ply vehicle 282 596
m1257.ply vehicle 8811 17370
m1531.ply vehicle 2170 4060
m1280.ply vehicle 249 324
m1294.ply vehicle 257 352
m1295.ply vehicle 204 244
m1281.ply vehicle 415 692
m1256.ply vehicle 9396 18363
m1530.ply vehicle 1268 2286
m1524.ply vehicle 1517 3014
m1242.ply vehicle 380 608
m1518.ply vehicle 7376 14482
m1120.ply vehicle 65698 129881
m1134.ply vehicle 338 512
m1487.ply vehicle 7454 15436
m1493.ply vehicle 58844 116955
m1322.ply vehicle 675 1270
m1444.ply vehicle 6251 11722
m1450.ply vehicle 98 156
m1336.ply vehicle 1191 2319
m1478.ply vehicle 2769 5049
m1332.ply vehicle 496 923
m1454.ply vehicle 325 598
m1440.ply vehicle 4230 5977
m1326.ply vehicle 1545 2709
m1468.ply vehicle 467 684
m1497.ply vehicle 3655 7234
m1483.ply vehicle 46403 90616
m1130.ply vehicle 2295 4520
m1124.ply vehicle 390 572
m1118.ply vehicle 10676 20408
m1246.ply vehicle 366 784
m1520.ply vehicle 378 904
m1534.ply vehicle 14919 36397
m1252.ply vehicle 3070 4854
m1508.ply vehicle 4332 10492
m1285.ply vehicle 802 1408
m1291.ply vehicle 272 444
m1290.ply vehicle 279 372
m1284.ply vehicle 6298 11608
m1509.ply vehicle 47474 95045
m1535.ply vehicle 15171 29304
m1253.ply vehicle 348 476
m1247.ply vehicle 775 1546
m1521.ply vehicle 308 580
m1119.ply vehicle 863 1550
m1125.ply vehicle 434 656
m1131.ply vehicle 482 768
m1482.ply vehicle 15288 29064
m1496.ply vehicle 8403 16736
m1469.ply vehicle 1724 3176
m1441.ply vehicle 3150 4116
m1327.ply vehicle 7498 14167
m1333.ply vehicle 439 900
m1455.ply vehicle 314 576
m1325.ply vehicle 1545 2438
m1443.ply vehicle 33374 65182
m1457.ply vehicle 2333 4485
m1331.ply vehicle 51 51
m1319.ply vehicle 598 1004
m1480.ply vehicle 9543 18238
m1494.ply vehicle 830 2016
m1127.ply vehicle 354 520
m1133.ply vehicle 624 1024
m1251.ply vehicle 1198 2237
m1537.ply vehicle 381 1416
m1523.ply vehicle 1830 3640
m1245.ply vehicle 215 426
m1279.ply vehicle 734 1204
m1292.ply vehicle 2911 5036
m1286.ply vehicle 334 428
m1287.ply vehicle 714 1188
m1293.ply vehicle 902 1540
m1278.ply vehicle 2304 4344
m1522.ply vehicle 2669 4713
m1244.ply vehicle 186 442
m1250.ply vehicle 2539 4970
m1536.ply vehicle 1503 3653
m1132.ply vehicle 882 1428
m1126.ply vehicle 770 1316
m1495.ply vehicle 6863 13402
m1481.ply vehicle 547 1038
m1318.ply vehicle 1162 2056
m1456.ply vehicle 497 935
m1330.ply vehicle 294 578
m1324.ply vehicle 50904 98664
m1442.ply vehicle 6859 12554
m1419.ply vehicle 2338 4420
m1343.ply vehicle 178 344
m1425.ply vehicle 6315 12533
m1431.ply vehicle 674 960
m1357.ply vehicle 9664 32216
m1380.ply vehicle 11926 20996
m1394.ply vehicle 10236 19698
m1169.ply vehicle 1198 2237
m1141.ply vehicle 11819 23138
m1155.ply vehicle 3680 5798
m1182.ply vehicle 179 354
m1196.ply vehicle 523 804
m1579.ply vehicle 6906 13359
m1237.ply vehicle 212 480
m1551.ply vehicle 18528 35465
m1545.ply vehicle 8056 14914
m1223.ply vehicle 1117 2230
m1586.ply vehicle 5520 10614
m1587.ply vehicle 4658 8999
m740.ply vehicle 4352 7556
m1544.ply vehicle 60246 116378
m1222.ply vehicle 332 612
m1236.ply vehicle 396 828
m1550.ply vehicle 9368 17526
m1578.ply vehicle 333 574
m1197.ply vehicle 235 484
m1183.ply vehicle 520 780
m1154.ply vehicle 520 1000
m1140.ply vehicle 13908 27087
m1168.ply vehicle 500 1106
m1395.ply vehicle 818 1221
m1381.ply vehicle 13861 28037
m1430.ply vehicle 774 1032
m1356.ply vehicle 1946 3301
m1342.ply vehicle 1252 2305
m1424.ply vehicle 760 1244
m1418.ply vehicle 477 760
m1368.ply vehicle 31247 59746
m1354.ply vehicle 5720 11368
m1432.ply vehicle 573 822
m1426.ply vehicle 27142 53728
m1340.ply vehicle 778 1457
m1397.ply vehicle 10065 18674
m1383.ply vehicle 8722 31296
m1156.ply vehicle 1333 2472
m1142.ply vehicle 1322 2498
m1195.ply vehicle 340 460
m1181.ply vehicle 410 816
m1208.ply vehicle 308 519
m1220.ply vehicle 437 862
m1546.ply vehicle 9068 15012
m1552.ply vehicle 5247 10474
m1234.ply vehicle 236 492
m1585.ply vehicle 5303 10241
m1584.ply vehicle 174 316
m1553.ply vehicle 1239 1915
m1235.ply vehicle 193 376
m1221.ply vehicle 372 688
m1547.ply vehicle 249 440
m1209.ply vehicle 243 480
m1180.ply vehicle 531 1058
m1194.ply vehicle 757 1188
m1143.ply vehicle 3336 6574
m1157.ply vehicle 1264 2088
m1382.ply vehicle 7006 14044
m1396.ply vehicle 1353 2476
m1427.ply vehicle 757 1084
m1341.ply vehicle 424 824
m1355.ply vehicle 7730 13354
m1433.ply vehicle 926 1227
m1369.ply vehicle 1004 1720
m1437.ply vehicle 658 930
m1351.ply vehicle 12987 24466
m1345.ply vehicle 3174 6000
m1423.ply vehicle 15183 13902
m1379.ply vehicle 1017 1858
