mesh_name,category,n_vertices,n_faces,d_centroid_origin,scale
m1308.ply,vehicle,58380,116777,0.654769078894034,1.321513067604706
m1446.ply,vehicle,6122,10530,0.5348161912331793,0.9843416682026622
m1320.ply,vehicle,7674,14166,0.7610971687526885,1.2366950613328251
m1334.ply,vehicle,267,524,0.64664904027671,1.2604212150535232
m1452.ply,vehicle,776,1452,0.4771301973153396,1.1202988468944346
m1485.ply,vehicle,6148,12263,0.6166087382076986,1.1179382428224736
m1491.ply,vehicle,55001,116942,0.556896255995359,1.1619656944510022
m1122.ply,vehicle,6704,11577,0.6485852355520475,1.3453779356600881
m1136.ply,vehicle,904,1628,0.5603015758241764,1.1095828020265095
m1268.ply,vehicle,240,376,0.5540949722859738,1.098944360113377
m1532.ply,vehicle,132,134,0.6024085335256842,1.1059101077162647
m1254.ply,vehicle,46597,88241,0.6269587643355887,1.3259761665674838
m1240.ply,vehicle,182,378,0.7896667841254809,1.2942397290401806
m1526.ply,vehicle,320,560,0.5663549948653036,1.0654321139256127
m1297.ply,vehicle,640,1044,0.5422861297281855,0.9901326428697571
m1283.ply,vehicle,275,368,0.5672797936579765,1.0944587356579325
m1282.ply,vehicle,368,608,0.5784889289880412,1.1639939162388264
m1296.ply,vehicle,250,408,0.8766020862023716,1.0826283298607144
m737.ply,vehicle,3782,7110,0.7683111507853925,1.4386333769803896
m1241.ply,vehicle,480,720,0.7264579171446721,1.1917837947366963
m1527.ply,vehicle,7315,14450,0.6827617867011778,1.3323024775646857
m1533.ply,vehicle,7374,14462,0.5570737075921426,1.0491632858578306
m1255.ply,vehicle,3167,6441,0.7064569499883888,1.0884968592168744
m1269.ply,vehicle,230,272,0.5478287220650645,1.0778979742081345
m1137.ply,vehicle,408,524,0.5447775267577805,1.0601630007753524
m1123.ply,vehicle,1015,1756,0.6314906447311468,1.2004545222348075
m1490.ply,vehicle,2868,5566,0.6261329489629641,1.1428068740299036
m1484.ply,vehicle,118,180,0.6373540894822167,1.1566491174526525
m1335.ply,vehicle,321,626,0.6305688678440365,1.1550264846115001
m1453.ply,vehicle,7994,15870,0.5788063348697124,1.2321857087898722
m1447.ply,vehicle,3189,6000,0.4707540070273983,0.9672778379829655
m1321.ply,vehicle,2727,5138,0.6221072014678133,1.1701756212487935
m1309.ply,vehicle,2046,3460,0.700773334594894,1.1630368011176602
m1479.ply,vehicle,12097,22065,0.6217636517014818,1.1892347593725976
m1451.ply,vehicle,775,1498,0.5593328096254992,1.1709618350488626
m1337.ply,vehicle,201,340,0.8731585228951235,1.5479989707722677
m1323.ply,vehicle,5729,10670,0.7329222195962916,1.3073217806339799
m1445.ply,vehicle,3516,7029,0.4930647790096361,0.9834422072663955
m1492.ply,vehicle,5914,10880,0.5310907466800026,1.2045525045028134
m1486.ply,vehicle,5735,11230,0.5770255171199241,1.1022777813328182
m1135.ply,vehicle,264,360,0.5824662907060699,1.0946208333747351
m1121.ply,vehicle,1062,1913,0.590265314996558,1.2583453216446587
m1519.ply,vehicle,4099,7958,0.5542094024502311,1.0430179396275983
m1525.ply,vehicle,10543,21450,0.5942859909639564,1.0921549642175326
m1243.ply,vehicle,282,596,0.726747882016212,1.1738548575100756
m1257.ply,vehicle,8811,17370,0.5036672064919633,1.0582387249860024
m1531.ply,vehicle,2170,4060,0.5483574591544481,1.056413958882123
m1280.ply,vehicle,249,324,0.5362778468649583,1.0458192268059523
m1294.ply,vehicle,257,352,0.5530686980495145,1.0399243174385335
m1295.ply,vehicle,204,244,0.5630140393745856,1.0630488285303548
m1281.ply,vehicle,415,692,0.5601032604879269,1.0940104850617292
m1256.ply,vehicle,9396,18363,0.6306023102642245,1.0582387249860024
m1530.ply,vehicle,1268,2286,0.5718900663431048,1.0572216397827845
m1524.ply,vehicle,1517,3014,0.5640668940431327,1.0779117845431507
m1242.ply,vehicle,380,608,0.6999672228362429,1.1263489628637122
m1518.ply,vehicle,7376,14482,0.5439052055906636,1.0645541965282932
m1120.ply,vehicle,65698,129881,0.7720350574904169,1.3297694321535594
m1134.ply,vehicle,338,512,0.559810747974038,1.091857858214154
m1487.ply,vehicle,7454,15436,0.5793882390548126,1.1172622427169907
m1493.ply,vehicle,58844,116955,0.6570314918879397,1.1719657624883928
m1322.ply,vehicle,675,1270,0.7073901505638667,1.2913714048626754
m1444.ply,vehicle,6251,11722,0.5465489850384873,1.0647929187222274
m1450.ply,vehicle,98,156,0.5343559041530888,1.2719410009245713
m1336.ply,vehicle,1191,2319,0.701375695123341,1.2175911040451963
m1478.ply,vehicle,2769,5049,0.5635849362101255,1.1340676449542153
m1332.ply,vehicle,496,923,0.6267003450065773,1.21908992034263
m1454.ply,vehicle,325,598,0.6874451601919455,1.38242803147578
m1440.ply,vehicle,4230,5977,0.5866350194659713,0.9987606538630764
m1326.ply,vehicle,1545,2709,0.672567311812166,1.2823858362836826
m1468.ply,vehicle,467,684,0.5129658098470482,0.9834010666828666
m1497.ply,vehicle,3655,7234,0.5282260836161969,1.0464732911737404
m1483.ply,vehicle,46403,90616,0.6164868420954981,1.1308410424688344
m1130.ply,vehicle,2295,4520,0.7917547776206402,1.3009914205558775
m1124.ply,vehicle,390,572,0.5823520251579266,1.1483945555600654
m1118.ply,vehicle,10676,20408,0.5861718349750977,1.094111792087536
m1246.ply,vehicle,366,784,0.7250262052524882,1.2710820635777218
m1520.ply,vehicle,378,904,0.5640014971581971,1.097220281121799
m1534.ply,vehicle,14919,36397,0.6104690453186318,1.0846773832177012
m1252.ply,vehicle,3070,4854,0.660399176859628,1.1332038533158983
m1508.ply,vehicle,4332,10492,0.5775295973891881,1.0457888068601615
m1285.ply,vehicle,802,1408,0.5562140302905659,1.067172315626675
m1291.ply,vehicle,272,444,0.5904004830206433,1.1287218699560135
m1290.ply,vehicle,279,372,0.545155578886027,1.0589208599687703
m1284.ply,vehicle,6298,11608,0.532431525144687,1.0477415767277731
m1509.ply,vehicle,47474,95045,0.6930199756122153,1.1451901242640892
m1535.ply,vehicle,15171,29304,0.5688909059563146,1.0464152364840642
m1253.ply,vehicle,348,476,0.7134773190474083,1.1922772634471395
m1247.ply,vehicle,775,1546,0.6854959177645513,1.1961544840563028
m1521.ply,vehicle,308,580,0.5779472957022898,1.0545517312801682
m1119.ply,vehicle,863,1550,0.6144919133748484,1.2855249741121328
m1125.ply,vehicle,434,656,0.6002262343700029,1.2505562095919558
m1131.ply,vehicle,482,768,0.5917118870761957,1.18119970443105
m1482.ply,vehicle,15288,29064,0.5778207995189877,1.1476289565173057
m1496.ply,vehicle,8403,16736,0.5589807278849687,1.0648887337055455
m1469.ply,vehicle,1724,3176,0.5232649752301565,0.9912299946410016
m1441.ply,vehicle,3150,4116,0.5194127819807961,1.0530970420512062
m1327.ply,vehicle,7498,14167,0.5640581144476811,1.2366928371366108
m1333.ply,vehicle,439,900,0.643389220452776,1.260793046342658
m1455.ply,vehicle,314,576,0.5886629650715994,1.2283522440883965
m1325.ply,vehicle,1545,2438,0.6752851065629506,1.2800357031965943
m1443.ply,vehicle,33374,65182,0.5289325339110751,1.0019664577080412
m1457.ply,vehicle,2333,4485,0.5659428235390535,1.1630561326561155
m1331.ply,vehicle,51,51,0.7447594344314589,1.2208072847300675
m1319.ply,vehicle,598,1004,0.5683328545582724,1.1684591641345452
m1480.ply,vehicle,9543,18238,0.6482444974514309,1.2049893133368443
m1494.ply,vehicle,830,2016,0.5870467774973063,1.1183052695704334
m1127.ply,vehicle,354,520,0.57471571564415,1.248314450138666
m1133.ply,vehicle,624,1024,0.6119415636271712,1.2405919011093052
m1251.ply,vehicle,1198,2237,0.49494971778248287,1.1794333606482394
m1537.ply,vehicle,381,1416,0.5168990350840746,1.0199950383144027
m1523.ply,vehicle,1830,3640,0.577835936849222,1.0837674005449693
m1245.ply,vehicle,215,426,0.6570300920404741,1.2288393596890523
m1279.ply,vehicle,734,1204,0.5900673678604148,1.0516400464270084
m1292.ply,vehicle,2911,5036,0.6154610325006664,1.1640005727408385
m1286.ply,vehicle,334,428,0.5717227995137882,1.108578845950526
m1287.ply,vehicle,714,1188,0.5587116565693439,1.0523409213748176
m1293.ply,vehicle,902,1540,0.5803039867486367,1.1636043525090476
m1278.ply,vehicle,2304,4344,0.5448629177063865,1.0560942285596489
m1522.ply,vehicle,2669,4713,0.5542719834191108,1.0571161393834643
m1244.ply,vehicle,186,442,0.7320502706657079,1.1459842240611342
m1250.ply,vehicle,2539,4970,0.6772661580200867,1.2904190172381993
m1536.ply,vehicle,1503,3653,0.6455086327499874,1.2222467851236098
m1132.ply,vehicle,882,1428,0.6240843604216915,1.1930730888026098
m1126.ply,vehicle,770,1316,0.6356239737847003,1.2367049952159166
m1495.ply,vehicle,6863,13402,0.5628827862844988,1.0921016299117954
m1481.ply,vehicle,547,1038,0.5806228105462754,1.1461924648016144
m1318.ply,vehicle,1162,2056,0.5744128761901783,1.2215616254896844
m1456.ply,vehicle,497,935,0.5865385959394945,1.3032569478138223
m1330.ply,vehicle,294,578,0.5099512633720044,0.9963725262019221
m1324.ply,vehicle,50904,98664,0.7237155318301585,1.325638505668872
m1442.ply,vehicle,6859,12554,0.462710382913545,1.0003192819420208
m1419.ply,vehicle,2338,4420,0.5952570289148844,1.0950544548309
m1343.ply,vehicle,178,344,0.7432888354094593,1.357746381502083
m1425.ply,vehicle,6315,12533,0.4482018191634909,1.0264769066277135
m1431.ply,vehicle,674,960,0.511515941385259,1.0058145930229885
m1357.ply,vehicle,9664,32216,0.5115774482258035,1.0403914385484916
m1380.ply,vehicle,11926,20996,0.7360254232572766,1.3913293040402044
m1394.ply,vehicle,10236,19698,0.5415248676703639,1.0340140590325646
m1169.ply,vehicle,1198,2237,0.49494971778248287,1.1794333606482394
m1141.ply,vehicle,11819,23138,0.6987185138190574,1.1568351192957447
m1155.ply,vehicle,3680,5798,0.6570377293959824,1.2532318715967927
m1182.ply,vehicle,179,354,0.704230848077084,1.3447212497949155
m1196.ply,vehicle,523,804,0.7144816723676456,1.169669361061065
m1579.ply,vehicle,6906,13359,0.5239588722881506,1.0211508861010699
m1237.ply,vehicle,212,480,0.7107503099507564,1.3471164107340539
m1551.ply,vehicle,18528,35465,0.5416090618883955,1.0681463758067056
m1545.ply,vehicle,8056,14914,0.538668863626133,1.0720630540341365
m1223.ply,vehicle,1117,2230,0.5211665315235714,1.172704615838106
m1586.ply,vehicle,5520,10614,0.48716632145176353,1.0507240581146888
m1587.ply,vehicle,4658,8999,0.5837017223582036,1.093204195765823
m740.ply,vehicle,4352,7556,0.7589081502804998,1.4177650460809788
m1544.ply,vehicle,60246,116378,0.5349840676909773,1.077469557499422
m1222.ply,vehicle,332,612,0.8965061988949081,1.3373965774743106
m1236.ply,vehicle,396,828,0.7182614726841122,1.1605673851259133
