mesh name,corner1x,corner1y,corner1z,corner2x,corner2y,corner2z,corner3x,corner3y,corner3z,corner4x,corner4y,corner4z,corner5x,corner5y,corner5z,corner6x,corner6y,corner6z,corner7x,corner7y,corner7z,corner8x,corner8y,corner8z
m1308.ply,0.025,0.025,0.025,0.915335,0.025,0.025,0.915335,0.251275,0.025,0.025,0.251275,0.025,0.025,0.025,0.975,0.915335,0.025,0.975,0.915335,0.251275,0.975,0.025,0.251275,0.975
m1446.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.159904,0.025,0.025,0.159904,0.025,0.025,0.025,0.244612,0.975,0.025,0.244612,0.975,0.159904,0.244612,0.025,0.159904,0.244612
m1320.ply,0.025,0.025,0.025,0.762713,0.025,0.025,0.762713,0.312566,0.025,0.025,0.312566,0.025,0.025,0.025,0.975,0.762713,0.025,0.975,0.762713,0.312566,0.975,0.025,0.312566,0.975
m1334.ply,0.025,0.025,0.025,0.815539,0.025,0.025,0.815539,0.272406,0.025,0.025,0.272406,0.025,0.025,0.025,0.975,0.815539,0.025,0.975,0.815539,0.272406,0.975,0.025,0.272406,0.975
m1452.ply,0.025,0.025,0.025,0.603552,0.025,0.025,0.603552,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.158593,0.603552,0.025,0.158593,0.603552,0.975,0.158593,0.025,0.975,0.158593
m1485.ply,0.025,0.025,0.025,0.422203,0.025,0.025,0.422203,0.460334,0.025,0.025,0.460334,0.025,0.025,0.025,0.975,0.422203,0.025,0.975,0.422203,0.460334,0.975,0.025,0.460334,0.975
m1491.ply,0.025,0.025,0.025,0.528541,0.025,0.025,0.528541,0.46558,0.025,0.025,0.46558,0.025,0.025,0.025,0.975,0.528541,0.025,0.975,0.528541,0.46558,0.975,0.025,0.46558,0.975
m1122.ply,0.025,0.025,0.025,0.93572,0.025,0.025,0.93572,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.304519,0.93572,0.025,0.304519,0.93572,0.975,0.304519,0.025,0.975,0.304519
m1136.ply,0.025,0.025,0.025,0.559108,0.025,0.025,0.559108,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.233333,0.559108,0.025,0.233333,0.559108,0.975,0.233333,0.025,0.975,0.233333
m1268.ply,0.025,0.025,0.025,0.571529,0.025,0.025,0.571529,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.105528,0.571529,0.025,0.105528,0.571529,0.975,0.105528,0.025,0.975,0.105528
m1532.ply,0.025,0.025,0.025,0.452245,0.025,0.025,0.452245,0.396482,0.025,0.025,0.396482,0.025,0.025,0.025,0.975,0.452245,0.025,0.975,0.452245,0.396482,0.975,0.025,0.396482,0.975
m1254.ply,0.025,0.025,0.025,0.277748,0.025,0.025,0.277748,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.914849,0.277748,0.025,0.914849,0.277748,0.975,0.914849,0.025,0.975,0.914849
m1240.ply,0.025,0.025,0.025,0.861905,0.025,0.025,0.861905,0.293601,0.025,0.025,0.293601,0.025,0.025,0.025,0.975,0.861905,0.025,0.975,0.861905,0.293601,0.975,0.025,0.293601,0.975
m1526.ply,0.025,0.025,0.025,0.43005,0.025,0.025,0.43005,0.286878,0.025,0.025,0.286878,0.025,0.025,0.025,0.975,0.43005,0.025,0.975,0.43005,0.286878,0.975,0.025,0.286878,0.975
m1297.ply,0.0641477,0.025,0.0450668,0.339672,0.025,0.0450668,0.339672,0.975,0.0450668,0.0641477,0.975,0.0450668,0.0641477,0.025,0.0892144,0.339672,0.025,0.0892144,0.339672,0.975,0.0892144,0.0641477,0.975,0.0892144
m1283.ply,0.025,0.025,0.0302714,0.542551,0.025,0.0302714,0.542551,0.975,0.0302714,0.025,0.975,0.0302714,0.025,0.025,0.196045,0.542551,0.025,0.196045,0.542551,0.975,0.196045,0.025,0.975,0.196045
m1282.ply,0.025,0.025,0.025,0.689896,0.025,0.025,0.689896,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.126465,0.689896,0.025,0.126465,0.689896,0.975,0.126465,0.025,0.975,0.126465
m1296.ply,0.428995,0.025,0.025,0.937519,0.025,0.025,0.937519,0.975,0.025,0.428995,0.975,0.025,0.428995,0.025,0.129821,0.937519,0.025,0.129821,0.937519,0.975,0.129821,0.428995,0.975,0.129821
