mesh_name,category,n_vertices,n_faces,d_centroid_origin
m1308.ply,vehicle,3196,6400,2.450919666121804e-09
m1446.ply,vehicle,3658,6399,4.14371796749181e-09
m1320.ply,vehicle,3527,6399,1.0288712212814655e-08
m1334.ply,vehicle,3171,6400,4.8840252606301236e-09
m1452.ply,vehicle,3277,6399,9.090971213242769e-09
m1485.ply,vehicle,3180,6400,4.794999197671197e-09
m1491.ply,vehicle,2963,6400,1.2558988950891778e-09
m1122.ply,vehicle,3815,6399,3.452173757386518e-09
m1136.ply,vehicle,3430,6512,3.9183941051185455e-09
m1268.ply,vehicle,3207,6016,4.552752488914241e-09
m1532.ply,vehicle,3626,6400,5.976213870841792e-09
m1254.ply,vehicle,3514,6398,5.441321015368641e-09
m1240.ply,vehicle,3162,6400,8.473733607673981e-10
m1526.ply,vehicle,3312,6400,1.1853605667812624e-09
m1297.ply,vehicle,3442,6400,6.2573242102718215e-09
m1283.ply,vehicle,3308,5888,3.0878716154142556e-09
m1282.ply,vehicle,3385,6399,7.510680998577734e-09
m1296.ply,vehicle,3442,6528,2.911292126123002e-09
m737.ply,vehicle,3782,7110,2.4318353768586863e-09
m1241.ply,vehicle,3583,6399,4.13148306906768e-09
m1527.ply,vehicle,3252,6399,9.432616964851138e-10
m1533.ply,vehicle,3305,6399,9.95332261284672e-10
m1255.ply,vehicle,3167,6441,2.4030020670858716e-09
m1269.ply,vehicle,3677,6400,3.4581841168425787e-09
m1137.ply,vehicle,3731,6399,1.0775084641105728e-09
m1123.ply,vehicle,3783,7024,1.179928981554824e-09
m1490.ply,vehicle,3290,6400,5.9526123412400565e-09
m1484.ply,vehicle,3354,6400,1.6335140305597426e-09
m1335.ply,vehicle,3200,6400,4.279281987068295e-09
m1453.ply,vehicle,3236,6400,3.0426920590028826e-09
m1447.ply,vehicle,3189,6000,4.621448923833905e-09
m1321.ply,vehicle,3370,6399,1.7101163682760166e-08
m1309.ply,vehicle,3579,6400,7.13578517550975e-09
m1479.ply,vehicle,3865,6400,2.491685414914906e-09
m1451.ply,vehicle,3037,5992,4.013695266477209e-09
m1337.ply,vehicle,3413,6399,3.027814912853106e-09
m1323.ply,vehicle,3227,6399,7.499371643757825e-09
m1445.ply,vehicle,3516,7029,3.533309174455987e-09
m1492.ply,vehicle,3674,6400,3.236289818520097e-09
m1486.ply,vehicle,3255,6399,8.659437539784329e-09
m1135.ply,vehicle,3042,5760,4.132841056025681e-10
m1121.ply,vehicle,4027,7652,1.887239842468702e-09
m1519.ply,vehicle,4099,7958,3.6864691366518474e-09
m1525.ply,vehicle,2962,6400,2.5855580002112103e-09
m1243.ply,vehicle,3150,6399,2.1423803364629605e-09
m1257.ply,vehicle,3342,6399,1.7682241128187056e-09
m1531.ply,vehicle,3379,6399,1.940694776468766e-09
m1280.ply,vehicle,3622,6400,6.404193913782024e-09
m1294.ply,vehicle,3131,5632,8.990728950646564e-09
m1295.ply,vehicle,3639,6400,5.0194610270398285e-09
m1281.ply,vehicle,3341,6399,9.35835175180277e-09
m1256.ply,vehicle,3340,6399,1.1643426059523356e-09
m1530.ply,vehicle,3412,6400,4.11381402864743e-09
m1524.ply,vehicle,3210,6400,4.3897465850367066e-10
m1242.ply,vehicle,3458,6400,2.6207411429027305e-09
m1518.ply,vehicle,3280,6400,2.5504466644957788e-09
m1120.ply,vehicle,3806,6399,3.0611657556270603e-09
m1134.ply,vehicle,3466,6399,3.4137944495152195e-09
m1487.ply,vehicle,2936,6400,3.820970295838395e-09
m1493.ply,vehicle,3635,6400,7.223184147529599e-10
m1322.ply,vehicle,3239,6400,1.6588397314783503e-08
m1444.ply,vehicle,3550,6400,5.530475433708131e-10
m1450.ply,vehicle,3012,6399,3.0200491563433378e-09
m1336.ply,vehicle,3233,6400,5.7771672124743325e-09
m1478.ply,vehicle,3470,6400,2.559892462040803e-08
m1332.ply,vehicle,3216,6400,8.277808976801943e-09
m1454.ply,vehicle,3226,6400,2.224049231295148e-09
m1440.ply,vehicle,4230,5977,1.2777206155332668e-09
m1326.ply,vehicle,3430,6399,4.8285501882363985e-09
m1468.ply,vehicle,3607,6400,5.102529255945145e-09
m1497.ply,vehicle,3655,7234,2.0090329886623653e-09
m1483.ply,vehicle,3248,6399,1.9004341326819663e-09
m1130.ply,vehicle,3249,6399,4.28662607334378e-09
m1124.ply,vehicle,3502,6400,3.2267278915523194e-09
m1118.ply,vehicle,3411,6399,2.0004137966100895e-09
m1246.ply,vehicle,3038,6400,1.7620899141527152e-09
m1520.ply,vehicle,2110,6400,1.1145539355792622e-08
m1534.ply,vehicle,2852,6400,3.3370004400592897e-09
m1252.ply,vehicle,3070,4854,4.840379843587757e-10
m1508.ply,vehicle,2294,6398,7.441740109844069e-09
m1285.ply,vehicle,3018,5632,1.8904634406397176e-09
m1291.ply,vehicle,3595,7104,2.304040443102352e-09
m1290.ply,vehicle,3339,5952,1.824641602939688e-09
m1284.ply,vehicle,3135,6399,2.337253600674942e-09
m1509.ply,vehicle,3266,6399,1.3093212747382513e-09
m1535.ply,vehicle,3318,6400,2.246647862513018e-09
m1253.ply,vehicle,4236,7616,1.9673636674221435e-09
m1247.ply,vehicle,3094,6184,1.1440365208692034e-09
m1521.ply,vehicle,3216,6397,2.3019283763553148e-09
