mesh_name,category,n_vertices,n_faces,d_centroid_origin,scale
m534.ply,liquid_container,1751,3500,0.6365913185863509,1.2877960723745414
m535.ply,liquid_container,1805,3499,0.7393140460067315,1.3210859521055593
m521.ply,liquid_container,2014,3500,0.8505045117355631,1.596650910830385
m537.ply,liquid_container,1750,3500,0.5921238472233309,1.2248187497906566
m523.ply,liquid_container,1882,3500,0.5655003434260952,1.0758231755196686
m522.ply,liquid_container,1384,2648,0.6137815889878309,1.152629691994656
m536.ply,liquid_container,1752,3500,0.5741958380798541,1.1630191609754932
m532.ply,liquid_container,1743,3499,0.6459547196695654,1.1041291291930369
m526.ply,liquid_container,1775,3500,0.6340358095327497,1.2369101220751184
m527.ply,liquid_container,1752,3500,0.8125139146570957,1.6454483078405036
m533.ply,liquid_container,1727,3500,0.5864218634263676,1.2254942959275406
m525.ply,liquid_container,1831,3500,0.5448090291289355,1.024973330973182
m531.ply,liquid_container,1296,2592,0.5122772376682179,1.159537648244985
m530.ply,liquid_container,1026,2048,0.4583213519722014,1.021092076685956
m524.ply,liquid_container,1696,3500,0.658369324017648,1.3403656576798442
m543.ply,liquid_container,1800,3500,0.812173047487782,1.549418594809986
m542.ply,liquid_container,1162,2288,0.8035302176704088,1.4553841591538133
m540.ply,liquid_container,1210,2416,0.8123654033270641,1.5266884216850882
m541.ply,liquid_container,900,3500,0.8130431561113547,1.5494197270969845
m545.ply,liquid_container,1602,3200,0.748140254877405,1.3974706308364147
m544.ply,liquid_container,1002,2000,0.7004778014163144,1.3161116126298222
m546.ply,liquid_container,1002,2000,0.7047103078837368,1.3161008785291053
m547.ply,liquid_container,1802,3500,0.809347574739442,1.5100278736758568
m529.ply,liquid_container,1737,3121,0.8366205215078156,1.4791641124538701
m528.ply,liquid_container,1761,3499,0.5801903018608523,1.0750178735455462
m538.ply,liquid_container,1219,2552,0.7505633873247148,1.4383859793956881
m539.ply,liquid_container,1764,3500,0.7459783164647141,1.400531091075388
m621.ply,lamp,1770,3499,0.5295173658893075,0.9649204821978036
m609.ply,lamp,1137,2234,0.4328633342613765,1.1923277251760214
m608.ply,lamp,1817,3499,0.7967129058221845,1.4908809962685359
m620.ply,lamp,1805,3500,0.5270727437522071,0.9584553280273912
m622.ply,lamp,1802,3500,0.47604252693659005,0.969061173257744
m623.ply,lamp,1825,3500,0.5308508180814153,1.0102587706277482
m618.ply,lamp,1622,3232,0.456568485995609,0.9624755339505662
m624.ply,lamp,1758,3500,0.6032370616674351,1.0207252746912674
m619.ply,lamp,1417,2784,0.6221613138642803,0.973164006913025
m614.ply,lamp,1362,2736,0.6725401061390214,1.3567267188551413
m615.ply,lamp,1768,3500,0.866043643945693,1.458308244808316
m603.ply,lamp,1689,3500,0.7759851437992397,1.3744694263691355
m617.ply,lamp,1773,3499,0.6109731968562098,1.0879647225497169
m616.ply,lamp,1806,3500,0.5890644666070801,1.278892132796163
m606.ply,lamp,1200,2320,0.6745158223723652,1.3239517617589356
m612.ply,lamp,1394,3500,0.8639721261789604,1.4908042910495842
m613.ply,lamp,1696,3200,0.8231480143294143,1.3432409327094053
m607.ply,lamp,1795,3499,0.7968156555406514,1.2943238168040867
m611.ply,lamp,1200,3200,0.7161909281951294,1.3272462502812283
m605.ply,lamp,1541,3500,0.7543253952818203,1.3376212007109982
m604.ply,lamp,1316,2333,0.5259644376773955,1.1721913811208213
m610.ply,lamp,1766,3500,0.7530465631356437,1.247202381960137
m1800.ply,fireplace,1761,3500,0.6195983826289603,1.4182955425256383
m1801.ply,fireplace,1146,2046,0.7479729157672289,1.4611941475174959
m1802.ply,fireplace,1831,3500,0.705295180004948,1.3617566914619514
m1797.ply,fireplace,1684,3499,0.5908309993729511,1.4508639134580947
m1799.ply,fireplace,1548,3072,0.5561320808223102,1.1494960950208848
m1798.ply,fireplace,1799,3378,0.5643210781025222,1.3756968643333398
m755.ply,ice_cream,1642,3500,0.6940212112504703,1.0456960339577366
m754.ply,ice_cream,1421,3499,0.6042708672915226,1.0638901531029894
m756.ply,ice_cream,1170,2400,0.754375054841242,1.0700253892605178
m757.ply,ice_cream,1822,3500,0.6967867840584152,1.2052954642275764
m753.ply,ice_cream,1068,2105,0.7083919147154863,1.0703650050770162
m752.ply,ice_cream,1488,3120,0.6560650361092313,1.053777942703623
m750.ply,ice_cream,1727,3500,0.6649748835141687,1.0354313893422582
m751.ply,ice_cream,1442,2817,0.5922744842949625,1.0307662625522473
