mesh name,flip_x,flip_y,flip_z
m1308.ply,1.0,1.0,1.0
m1446.ply,1.0,1.0,1.0
m1320.ply,1.0,1.0,1.0
m1334.ply,1.0,1.0,1.0
m1452.ply,1.0,1.0,1.0
m1485.ply,1.0,1.0,1.0
m1491.ply,1.0,1.0,1.0
m1122.ply,1.0,1.0,1.0
m1136.ply,1.0,1.0,1.0
m1268.ply,1.0,1.0,1.0
m1532.ply,1.0,1.0,1.0
m1254.ply,1.0,1.0,1.0
m1240.ply,1.0,1.0,1.0
m1526.ply,1.0,1.0,1.0
m1297.ply,1.0,1.0,1.0
m1283.ply,1.0,1.0,1.0
m1282.ply,1.0,1.0,1.0
m1296.ply,1.0,1.0,1.0
m737.ply,1.0,1.0,1.0
m1241.ply,1.0,1.0,1.0
m1527.ply,1.0,1.0,1.0
m1533.ply,1.0,1.0,1.0
m1255.ply,1.0,1.0,1.0
m1269.ply,1.0,1.0,1.0
m1137.ply,1.0,1.0,1.0
m1123.ply,1.0,1.0,1.0
m1490.ply,1.0,1.0,1.0
m1484.ply,1.0,1.0,1.0
m1335.ply,1.0,1.0,1.0
m1453.ply,1.0,1.0,1.0
m1447.ply,1.0,1.0,1.0
m1321.ply,1.0,1.0,1.0
m1309.ply,1.0,1.0,1.0
m1479.ply,1.0,1.0,1.0
m1451.ply,1.0,1.0,1.0
m1337.ply,1.0,1.0,1.0
m1323.ply,1.0,1.0,1.0
m1445.ply,1.0,1.0,1.0
m1492.ply,1.0,1.0,1.0
m1486.ply,1.0,-1.0,-1.0
m1135.ply,1.0,1.0,1.0
m1121.ply,1.0,1.0,1.0
m1519.ply,1.0,1.0,1.0
m1525.ply,1.0,1.0,1.0
m1243.ply,1.0,1.0,1.0
m1257.ply,1.0,1.0,1.0
m1531.ply,1.0,1.0,1.0
m1280.ply,1.0,1.0,1.0
m1294.ply,1.0,1.0,1.0
m1295.ply,1.0,1.0,1.0
m1281.ply,1.0,1.0,1.0
m1256.ply,1.0,1.0,1.0
m1530.ply,1.0,-1.0,-1.0
m1524.ply,1.0,1.0,1.0
m1242.ply,1.0,1.0,1.0
