mesh name,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,A3_10,A3_11,A3_12,A3_13,A3_14,A3_15,A3_16,A3_17,A3_18,A3_19,A3_20,A3_21,A3_22,A3_23,A3_24,A3_25,A3_26,A3_27,A3_28,A3_29,A3_30,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D1_11,D1_12,D1_13,D1_14,D1_15,D1_16,D1_17,D1_18,D1_19,D1_20,D1_21,D1_22,D1_23,D1_24,D1_25,D1_26,D1_27,D1_28,D1_29,D1_30,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D2_13,D2_14,D2_15,D2_16,D2_17,D2_18,D2_19,D2_20,D2_21,D2_22,D2_23,D2_24,D2_25,D2_26,D2_27,D2_28,D2_29,D2_30,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D3_9,D3_10,D3_11,D3_12,D3_13,D3_14,D3_15,D3_16,D3_17,D3_18,D3_19,D3_20,D3_21,D3_22,D3_23,D3_24,D3_25,D3_26,D3_27,D3_28,D3_29,D3_30,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10,D4_11,D4_12,D4_13,D4_14,D4_15,D4_16,D4_17,D4_18,D4_19,D4_20,D4_21,D4_22,D4_23,D4_24,D4_25,D4_26,D4_27,D4_28,D4_29,D4_30
m534.ply,0.011999999999999993,0.03184615384615411,0.04123076923077012,0.05353846153846148,0.06461538461538019,0.06753846153846066,0.07369230769231594,0.07492307692308531,0.06876923076923847,0.06092307692308374,0.06338461538462248,0.05169230769231348,0.05661538461539095,0.044000000000004924,0.04215384615385087,0.032769230769234436,0.029846153846157186,0.025538461538464396,0.023538461538464173,0.018153846153848185,0.012153846153847514,0.014153846153847738,0.010000000000001119,0.010307692307693461,0.005384615384615987,0.0036923076923081055,0.004000000000000448,0.0016923076923078817,0.0012307692307693685,0.0006153846153845732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09584615384615522,0.18107692307691817,0.1249230769230909,0.10692307692308889,0.0930769230769335,0.1255384615384756,0.1238461538461677,0.05384615384615987,0.027076923076926107,0.026461538461541423,0.028153846153849305,0.0132307692307706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00446153846153846,0.018923076923076907,0.024461538461538816,0.03507692307692383,0.05430769230769239,0.0699999999999952,0.0764615384615393,0.09384615384616435,0.1047692307692425,0.10923076923078145,0.12046153846155194,0.08815384615385602,0.0595384615384682,0.03753846153846574,0.032769230769234436,0.028615384615387818,0.022461538461540975,0.013384615384616882,0.004615384615385132,0.0009230769230769154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003076923076923077,0.005846153846153844,0.010615384615384606,0.02692307692307718,0.038153846153846975,0.05492307692307706,0.07661538461537937,0.0935384615384654,0.10753846153847357,0.12584615384616793,0.12076923076924428,0.11492307692308978,0.09276923076924115,0.05646153846154478,0.03907692307692745,0.024307692307695028,0.010000000000001119,0.0013846153846154285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024615384615384616,0.012615384615384606,0.030153846153846444,0.05107692307692418,0.07369230769230524,0.0896923076923033,0.11246153846155105,0.12246153846155217,0.12169230769232131,0.11861538461539789,0.09753846153847245,0.07876923076923958,0.0478461538461592,0.027846153846156962,0.009384615384616435,0.0032307692307695923,0.00046153846153840217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m535.ply,0.011538461538461532,0.031076923076923307,0.03953846153846239,0.050307692307692733,0.06230769230768804,0.06999999999999787,0.07538461538462382,0.07030769230770018,0.06892307692308464,0.06584615384616122,0.06246153846154545,0.058615384615391175,0.05923076923077586,0.04184615384615853,0.042769230769235556,0.03753846153846574,0.03153846153846507,0.02615384615384908,0.021230769230771607,0.01569230769230945,0.014307692307693909,0.010307692307693461,0.01015384615384729,0.007538461538462382,0.004615384615385132,0.005384615384615987,0.002461538461538737,0.0009230769230770264,0.0015384615384617106,0.00046153846153840217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22476923076922595,0.23861538461540677,0.24969230769233564,0.048307692307697714,0.0430769230769279,0.04492307692308195,0.04353846153846641,0.045692307692312806,0.0244615384615412,0.03230769230769592,0.004615384615385021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005846153846153844,0.013999999999999988,0.028923076923077294,0.038153846153846975,0.05753846153846104,0.06799999999999534,0.08261538461538709,0.09553846153847223,0.10800000000001209,0.11230769230770488,0.1201538461538596,0.09415384615385669,0.05400000000000604,0.04076923076923533,0.028461538461541647,0.02169230769231012,0.011076923076924317,0.010307692307693461,0.005692307692308329,0.002461538461538737,0.0003076923076922311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003076923076923077,0.0070769230769230735,0.011846153846153836,0.026461538461538765,0.03938461538461623,0.061230769230768645,0.08523076923076339,0.0918461538461608,0.10923076923078145,0.12676923076924496,0.13092307692309157,0.12369230769232153,0.08923076923077922,0.04953846153846708,0.026769230769233765,0.014769230769232422,0.004615384615385132,0.0010769230769230864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013846153846153847,0.015076923076923066,0.029538461538461847,0.05215384615384728,0.07107692307692064,0.09923076923076576,0.10907692307693528,0.12692307692309113,0.13276923076924563,0.11876923076924406,0.10184615384616524,0.07292307692308508,0.04507692307692812,0.0175384615384635,0.005538461538462158,0.0009230769230770264,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m521.ply,0.010153846153846149,0.025076923076923146,0.03723076923077003,0.05230769230769344,0.058923076923072915,0.0653846153846109,0.07000000000000767,0.07153846153846954,0.07076923076923869,0.07246153846154657,0.07261538461539274,0.0675384615384691,0.0595384615384682,0.05384615384615987,0.04292307692308173,0.04030769230769682,0.029692307692311015,0.024923076923079712,0.02015384615384841,0.018000000000002014,0.01446153846154008,0.006307692307693014,0.005692307692308329,0.0035384615384619345,0.002307692307692566,0.002615384615384908,0.0012307692307693685,0.00015384615384617106,0.0003076923076922311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002307692307692308,0.29615384615384505,0.30015384615387974,0.20830769230771562,0.0781538461538549,0.0627692307692378,0.05015384615385177,0.002000000000000113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005230769230769229,0.01446153846153845,0.022000000000000217,0.028461538461539072,0.038461538461539296,0.04569230769230605,0.05246153846153487,0.05507692307692144,0.06830769230769995,0.07676923076923936,0.08215384615385535,0.08846153846154836,0.10430769230770398,0.13123076923078392,0.09476923076924137,0.051384615384621135,0.0303076923076957,0.009230769230770264,0.0012307692307692575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004615384615384616,0.0032307692307692298,0.007230769230769226,0.016461538461538448,0.02523076923076969,0.0366153846153854,0.04969230769230752,0.05999999999999589,0.06784615384615222,0.08723076923077899,0.08661538461539431,0.09723076923078011,0.09769230769231863,0.1026153846153961,0.10015384615385736,0.08538461538462494,0.054461538461544556,0.019538461538463725,0.002307692307692455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015384615384615387,0.007076923076923073,0.01692307692307691,0.033384615384615984,0.050153846153847235,0.05892307692307433,0.0824615384615329,0.09630769230770309,0.09646153846154926,0.10307692307693461,0.09153846153847178,0.09769230769231863,0.08215384615385535,0.07200000000000806,0.050000000000005596,0.034000000000003805,0.02015384615384841,0.005538461538462158,0.0006153846153845732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m537.ply,0.01599999999999999,0.03784615384615432,0.054615384615385794,0.06399999999999711,0.06953846153845678,0.06323076923077486,0.07307692307693125,0.06476923076923802,0.06076923076923757,0.0547692307692369,0.054153846153852214,0.05169230769231348,0.04769230769231303,0.04753846153846686,0.03907692307692745,0.033846153846157634,0.028615384615387818,0.023692307692310344,0.022769230769233317,0.020923076923079265,0.01446153846154008,0.014923076923078593,0.013230769230770711,0.00861538461538558,0.006461538461539185,0.006769230769231527,0.002153846153846395,0.0036923076923081055,0.0007692307692308553,0.0003076923076922311,0.003846153846153845,0.0055384615384615355,0.004769230769230765,0.0056923076923076875,0.005230769230769226,0.005846153846153841,0.006461538461538595,0.16784615384615026,0.15676923076924024,0.1036923076923193,0.09753846153847245,0.06953846153846932,0.08046153846154747,0.14430769230770846,0.05538461538462158,0.02030769230769458,0.02015384615384841,0.03169230769231124,0.014923076923078482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004769230769230768,0.019384615384615368,0.03461538461538521,0.04815384615384719,0.06584615384615097,0.08707692307691889,0.0850769230769326,0.0956923076923184,0.10200000000001141,0.10784615384616592,0.08861538461539453,0.06600000000000739,0.05184615384615965,0.03938461538461979,0.028307692307695476,0.0244615384615412,0.02153846153846395,0.017846153846155843,0.010923076923078145,0.0006153846153845732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004615384615384616,0.004769230769230767,0.015230769230769218,0.03369230769230818,0.05476923076923195,0.07030769230768895,0.10123076923076779,0.11707692307693618,0.12338461538462919,0.12323076923078302,0.11415384615385893,0.098923076923088,0.06492307692308419,0.03492307692308083,0.024000000000002686,0.01292307692307837,0.004923076923077474,0.0010769230769230864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000005,0.015999999999999986,0.038000000000000526,0.07184615384615514,0.09523076923076271,0.11753846153846984,0.1329230769230918,0.13307692307693797,0.12615384615386027,0.10138461538462673,0.08138461538462449,0.046769230769236,0.024923076923079712,0.009692307692308777,0.002769230769231079,0.0003076923076922311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m523.ply,0.024461538461538444,0.05292307692307791,0.06876923076923036,0.08123076923076367,0.07476923076923506,0.06692307692308441,0.06338461538462248,0.051230769230774964,0.05076923076923645,0.042615384615389384,0.03876923076923511,0.040000000000004476,0.038153846153850424,0.03015384615384953,0.03523076923077317,0.028153846153849305,0.025692307692310568,0.02738461538461845,0.027076923076926107,0.02584615384615674,0.021076923076925436,0.0186153846153867,0.0175384615384635,0.011846153846155172,0.012615384615386027,0.008923076923077922,0.007692307692308553,0.004769230769231303,0.002307692307692566,0.0010769230769230864,0.0,0.0,0.0,0.019538461538461525,0.11476923076923215,0.1463076923076878,0.09292307692308732,0.07753846153847022,0.07569230769231616,0.08046153846154747,0.07092307692308486,0.06076923076923757,0.08369230769231706,0.05692307692308329,0.07492307692308531,0.045538461538466524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009538461538461534,0.029230769230769376,0.05246153846153959,0.07430769230769027,0.10846153846153536,0.14646153846155485,0.11384615384616659,0.09415384615385669,0.08046153846154747,0.07030769230770018,0.04953846153846708,0.04369230769231258,0.03600000000000403,0.0313846153846189,0.023846153846156515,0.01723076923077116,0.01292307692307837,0.00430769230769279,0.0018461538461539417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000005,0.015999999999999986,0.036461538461538955,0.059538461538462824,0.10076923076922487,0.13830769230770143,0.15338461538463255,0.1489230769230936,0.13246153846155329,0.10753846153847357,0.07076923076923869,0.026615384615387594,0.006769230769231527,0.00046153846153840217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006461538461538459,0.03476923076923097,0.08138461538461714,0.11984615384614586,0.15430769230770822,0.17769230769232758,0.16415384615386452,0.13753846153847693,0.0861538461538558,0.032461538461542094,0.005076923076923645,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m522.ply,0.010923076923076917,0.033692307692307966,0.04784615384615488,0.059230769230768116,0.07307692307691807,0.06846153846154157,0.070153846153854,0.06553846153846887,0.06369230769231482,0.06092307692308374,0.06307692307693014,0.0489230769230824,0.051538461538467306,0.04615384615385132,0.04076923076923533,0.03569230769231169,0.033846153846157634,0.02876923076923399,0.023538461538464173,0.01892307692307904,0.015384615384617106,0.012615384615386027,0.01015384615384729,0.006307692307693014,0.004461538461538961,0.002000000000000224,0.00292307692307725,0.0010769230769231974,0.00015384615384617106,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20123076923076602,0.12461538461538976,0.10000000000001119,0.09815384615385714,0.08600000000000962,0.17107692307694222,0.10830769230770443,0.0956923076923184,0.014923076923078482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00692307692307692,0.01784615384615383,0.030153846153846663,0.044153846153847105,0.05938461538461366,0.07261538461537964,0.09076923076923751,0.10553846153847335,0.13369230769232265,0.10169230769231907,0.07400000000000828,0.06338461538462248,0.055846153846160096,0.04292307692308173,0.03784615384615808,0.03307692307692678,0.018000000000002014,0.012000000000001343,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012307692307692308,0.005076923076923074,0.014615384615384603,0.030307692307692733,0.04661538461538562,0.05446153846153719,0.09030769230768612,0.10753846153847224,0.1361538461538614,0.1292307692307837,0.12446153846155239,0.10876923076924294,0.08892307692308687,0.05061538461539028,0.011384615384616659,0.0003076923076922311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002153846153846154,0.013384615384615375,0.031230769230769555,0.05446153846153964,0.08953846153845756,0.11430769230769441,0.11769230769232086,0.13938461538463098,0.14000000000001567,0.11507692307693596,0.09615384615385691,0.061538461538468425,0.022000000000002462,0.0030769230769233102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m536.ply,0.017846153846153835,0.040461538461539034,0.060615384615385924,0.07646153846153378,0.07661538461538334,0.07184615384616189,0.06307692307693014,0.055846153846160096,0.052923076923082846,0.046923076923082174,0.04523076923077429,0.04061538461538916,0.041384615384620016,0.03800000000000425,0.03861538461538894,0.038153846153850424,0.028615384615387818,0.027076923076926107,0.024000000000002686,0.024000000000002686,0.019230769230771383,0.017692307692309672,0.013384615384616882,0.011076923076924317,0.012307692307693685,0.006461538461539185,0.0060000000000006715,0.002461538461538737,0.002769230769231079,0.0003076923076922311,0.0,0.0,0.0,0.0,0.0,0.1258461538461558,0.0838461538461481,0.07307692307692398,0.06692307692308441,0.06230769230769928,0.06353846153846865,0.06446153846154568,0.06723076923077675,0.10107692307693439,0.13123076923078392,0.08969230769231773,0.029538461538464844,0.041230769230773734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070769230769230735,0.022153846153846135,0.03092307692307755,0.04723076923077025,0.06461538461538179,0.08661538461538024,0.10307692307693461,0.12092307692309046,0.08707692307693282,0.06584615384616122,0.06123076923077608,0.06184615384616077,0.044153846153851095,0.03923076923077362,0.0409230769230815,0.03430769230769615,0.030923076923080384,0.025538461538464396,0.020615384615386922,0.005692307692308218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015384615384615385,0.00692307692307692,0.02107692307692306,0.03430769230769298,0.056153846153847366,0.0767692307692261,0.09784615384615494,0.11184615384616636,0.12430769230770622,0.1212307692307828,0.1073846153846274,0.0967692307692416,0.07676923076923936,0.04753846153846686,0.017076923076924988,0.0030769230769234213,0.0007692307692307443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018461538461538465,0.017692307692307677,0.040461538461539076,0.07523076923076993,0.09953846153845472,0.11400000000001001,0.13630769230770756,0.14692307692309337,0.13107692307693775,0.11230769230770488,0.06846153846154612,0.04076923076923533,0.01292307692307837,0.0018461538461540528,0.0004615384615385132,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m532.ply,0.028615384615384595,0.06015384615384739,0.06799999999999862,0.07199999999999507,0.06476923076923419,0.06923076923077698,0.05969230769231437,0.054307692307698385,0.047076923076928345,0.044307692307697266,0.04523076923077429,0.041230769230773845,0.038307692307696595,0.03753846153846574,0.03169230769231124,0.029692307692311015,0.02753846153846462,0.028000000000003133,0.022769230769233317,0.024153846153848857,0.018307692307694357,0.016615384615386475,0.014769230769232422,0.015076923076924764,0.011846153846155172,0.010000000000001119,0.007538461538462382,0.005230769230769816,0.004769230769231303,0.0015384615384615996,0.006769230769230766,0.010615384615384606,0.00953846153846153,0.009692307692307806,0.008307692307692488,0.19399999999999393,0.12907692307693552,0.10646153846155038,0.08861538461539453,0.08738461538462516,0.08061538461539364,0.06492307692308419,0.050000000000005596,0.05615384615385244,0.019692307692309896,0.024307692307695028,0.032769230769234436,0.021076923076925325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008769230769230765,0.03261538461538482,0.059538461538462824,0.08984615384614987,0.105846153846155,0.10892307692308911,0.12061538461539811,0.11523076923078213,0.08584615384616345,0.058461538461545004,0.04523076923077429,0.04169230769231236,0.036769230769234884,0.029230769230772502,0.02292307692307949,0.01584615384615562,0.012307692307693685,0.00723076923077004,0.0030769230769233102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000005,0.015538461538461527,0.04061538461538519,0.07646153846153925,0.1104615384615309,0.14369230769232288,0.15615384615386363,0.13830769230770779,0.12276923076924451,0.08600000000000962,0.051230769230774964,0.03200000000000358,0.02046153846154075,0.004307692307692679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006615384615384612,0.03784615384615411,0.08553846153846295,0.1278461538461465,0.16846153846155731,0.1876923076923287,0.15984615384617173,0.10923076923078145,0.07061538461539252,0.03215384615384975,0.011384615384616659,0.002615384615384908,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m526.ply,0.009999999999999995,0.027076923076923186,0.04338461538461632,0.05338461538461575,0.06246153846153418,0.06784615384615175,0.07584615384616233,0.07184615384616189,0.07353846153846977,0.06784615384616144,0.06369230769231482,0.05630769230769861,0.05107692307692879,0.044307692307697266,0.03953846153846596,0.03784615384615808,0.03323076923077295,0.025692307692310568,0.02307692307692566,0.01892307692307904,0.011846153846155172,0.010923076923078145,0.00861538461538558,0.006769230769231527,0.004923076923077474,0.005384615384615987,0.0015384615384617106,0.0015384615384617106,0.0009230769230770264,0.0006153846153845732,0.0,0.0,0.0,0.0,0.0,0.0,0.02338461538461537,0.10492307692307873,0.13461538461537773,0.152000000000017,0.14123076923078504,0.1318461538461686,0.10876923076924294,0.09476923076924137,0.08092307692308598,0.025384615384618225,0.002153846153846284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005230769230769229,0.0166153846153846,0.02892307692307734,0.04446153846153942,0.056461538461537286,0.07153846153845664,0.07861538461538858,0.09261538461539498,0.11953846153847492,0.11276923076924339,0.10276923076924227,0.08600000000000962,0.07461538461539297,0.04523076923077429,0.03169230769231124,0.022153846153848633,0.008923076923077922,0.0016923076923078817,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009230769230769231,0.005076923076923074,0.012615384615384605,0.031692307692308096,0.04230769230769322,0.055692307692306806,0.07969230769230223,0.10200000000000745,0.11984615384616726,0.1275384615384758,0.13107692307693775,0.11353846153847424,0.0840000000000094,0.050000000000005596,0.02292307692307949,0.012307692307693685,0.007076923076923869,0.0013846153846155396,0.0003076923076922311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002307692307692308,0.012615384615384606,0.031076923076923384,0.05323076923077038,0.07630769230768941,0.1013846153846133,0.11923076923078257,0.12076923076924428,0.13830769230770779,0.11615384615385915,0.09830769230770331,0.06769230769231527,0.03923076923077362,0.017692307692309672,0.005384615384615987,0.0003076923076922311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m527.ply,0.009692307692307688,0.030461538461538637,0.04015384615384702,0.04969230769230833,0.06107692307691889,0.0630769230769195,0.07061538461539252,0.07107692307693103,0.0770769230769317,0.06584615384616122,0.06676923076923824,0.06076923076923757,0.06215384615385311,0.052769230769236675,0.045538461538466635,0.0361538461538502,0.03292307692308061,0.024307692307695028,0.019538461538463725,0.016769230769232646,0.010615384615385803,0.009230769230770264,0.006923076923077698,0.005538461538462158,0.0036923076923081055,0.002307692307692566,0.002769230769231079,0.0010769230769231974,0.0006153846153846843,0.0007692307692307443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13230769230769382,0.1210769230769154,0.1292307692307837,0.14292307692309292,0.1547692307692481,0.175384615384635,0.06815384615385378,0.06815384615385378,0.008000000000000784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004615384615384614,0.012615384615384605,0.023538461538461734,0.028769230769231387,0.03830769230769314,0.04538461538461383,0.061230769230765036,0.07200000000000165,0.07953846153847044,0.08753846153847133,0.08061538461539364,0.08800000000000985,0.08738461538462516,0.09707692307693394,0.0876923076923175,0.046923076923082174,0.03600000000000403,0.01738461538461733,0.005384615384615876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004615384615384616,0.0036923076923076914,0.00784615384615384,0.013076923076923066,0.026461538461538897,0.03861538461538545,0.049538461538461295,0.06907692307691835,0.08400000000000196,0.08538461538462494,0.09400000000001052,0.10553846153847335,0.11276923076924339,0.09984615384616502,0.08276923076924003,0.05646153846154478,0.033846153846157634,0.022000000000002462,0.011692307692309,0.002923076923077139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016923076923076926,0.008769230769230764,0.017999999999999985,0.033538461538462204,0.048615384615385664,0.07676923076922681,0.08015384615384383,0.09446153846154903,0.10307692307693461,0.10969230769231997,0.09800000000001097,0.09692307692308777,0.0792307692307781,0.06076923076923757,0.04630769230769749,0.022769230769233317,0.014153846153847738,0.0061538461538468425,0.0007692307692308553,0.00015384615384606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
